usuario_id,yeardone,study,privacy,dropout,device,net_id,school,grade,group,class_size,gender,yearbirth,age_assumed,siblings,left_hand,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,socpref1,socpref2,socpref3,sp1,sp2,sp3,sp4,sp5,sp6,migrant,repeater,gpaN,moodalone,moodfun,moodgeneral,patienceN,cns_td,crtN,finN,riskyN,cns_risk,self_bullying,n_others_bullying,others_bullying,height,weight,obesity,outdegreef,indegreef,eigenvectorf,clusteringf,outdegreee,indegreee,eigenvectore,clusteringe,density_f,average_degree_f,density_e,average_degree_e,schooltype,schooltown,schoolprov,nsiblings,rankbrother,stage,stairsN
2079,2021,337,1,1,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.77777779,4,4,4,.83333331,1,.66666669,.33333334,.66666669,1,0,0,0,167,57,,21,17,4.53890958691e-17,.6296296296296297,3,3,4.33554621090e-18,.4,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2080,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,0,,.44444445,4,3,4,.83333331,1,.66666669,0,.5,0,0,0,0,150,38,,6,12,1.17641734877e-17,.8076923076923076,4,9,0,.3333333333333333,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2081,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,1,,,,,,,,,,B),B),B),,,,,,,0,,.8888889,4,3,3,.83333331,1,1,.66666669,.66666669,1,0,0,0,160,42,,10,14,3.41564579678e-17,.9166666666666666,3,4,0,.6190476190476191,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2082,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.11111111,3,4,4,0,1,0,0,.83333331,1,0,0,0,162,60,,2,10,2.35223355115e-17,.7818181818181819,2,9,0,.3454545454545455,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2083,2021,337,1,0,2,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,,,0,4,4,3,.5,0,.33333334,0,.33333334,0,0,0,0,,,,4,12,3.07689361363e-17,.6043956043956044,5,14,0,.3602941176470588,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2084,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.77777779,4,4,3,1,1,.66666669,.66666669,.66666669,1,0,0,0,,,,23,16,4.06540652461e-17,.5911330049261084,5,2,0,.7142857142857143,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2085,2021,337,1,0,2,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,1,,1,3,3,3,1,1,1,.66666669,.5,1,0,0,0,,,,9,18,1.83847074374e-17,.7602339181286549,0,2,3.87609586315e-19,1,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2086,2021,337,1,0,2,5_2_1,5,1,2,30,0,2008,13,,0,,,,,,,,,,A),B),A),,,,,,,1,,.33333334,4,2,3,.33333334,0,0,.66666669,.66666669,1,0,0,0,170,62,,5,14,2.59126996802e-17,.7999999999999999,2,3,0,.2,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2087,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.33333334,4,4,4,.83333331,1,.66666669,.33333334,.83333331,1,0,0,0,157,40,,19,20,3.27431779236e-17,.7316017316017316,4,3,0,.4,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2088,2021,337,1,0,2,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,1,,.33333334,3,3,3,.83333331,1,.66666669,0,.33333334,1,0,0,0,164,65,,20,13,1.55058897339e-17,.6233766233766234,3,5,0,.7142857142857143,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2089,2021,337,1,0,2,5_2_1,5,1,2,30,0,2009,12,,1,,,,,,,,,,A),A),A),,,,,,,1,,0,4,4,2,.5,0,.33333334,.33333334,.66666669,1,0,0,0,,51,,27,14,3.70593942825e-17,.6068376068376069,4,3,1.75455786126e-18,.4666666666666667,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2090,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.33333334,3,4,3,.33333334,0,.66666669,.33333334,.66666669,1,0,0,0,,,,20,15,3.98959793581e-17,.7952380952380953,9,3,0,.4,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2091,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.33333334,3,4,2,.5,0,.66666669,.33333334,.66666669,0,0,0,0,,,,6,7,2.69887551728e-17,.5333333333333333,50,7,0,.0996078431372549,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2092,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.66666669,4,4,3,.16666667,1,0,.66666669,0,0,0,0,0,154,36,,1,9,3.00800221017e-17,.9722222222222222,1,5,0,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
